task_id,industry,ra3_category,metric_tested,problem_class,predicted_strategy,rationale
fintech_T1,fintech,terminology,TF,PC4,consensus,"Deterministic concept explanation; consensus should verify definition completeness."
fintech_T2,fintech,terminology,TF,PC4,consensus,"Deterministic terminology contrast; near-ceiling compliance-style verification."
fintech_T3,fintech,terminology,TF,PC4,consensus,"Payment compliance terminology has fixed required terms."
fintech_T4,fintech,metric_interpretation,MA,PC4,consensus,"Numeric health-range assessment against known thresholds."
fintech_T5,fintech,metric_interpretation,MA,PC4,consensus,"Fixed KPI target recall and verification."
fintech_T6,fintech,regulatory,RC,PC4,consensus,"BSA/AML threshold and filing obligation check."
fintech_T7,fintech,regulatory,RC,PC4,consensus,"PCI-DSS level classification against transaction count."
fintech_T8,fintech,role_analysis,RS,PC1,consensus,"High-risk customer evaluation under uncertainty benefits from multi-role risk consensus."
fintech_T9,fintech,role_analysis,RS,PC2,debate,"Payment routing balances cost, success rate, speed, and risk."
fintech_T10,fintech,cross_cutting,ALL,PC5,synthesis,"New BNPL product requires clarification and cross-functional handoff synthesis."
insurance_T1,insurance,terminology,TF,PC4,consensus,"Deterministic insurance metric definition."
insurance_T2,insurance,terminology,TF,PC4,consensus,"Fixed life-insurance metric definitions."
insurance_T3,insurance,terminology,TF,PC4,consensus,"IBNR and reserve adequacy definitions are verifiable."
insurance_T4,insurance,metric_interpretation,MA,PC4,consensus,"RBC, loss ratio, and persistency assessed against thresholds."
insurance_T5,insurance,metric_interpretation,MA,PC4,consensus,"Underwriting cycle target is a fixed KPI."
insurance_T6,insurance,regulatory,RC,PC4,consensus,"RBC action-level threshold verification."
insurance_T7,insurance,regulatory,RC,PC4,consensus,"NAIC Model 668 cybersecurity obligations."
insurance_T8,insurance,role_analysis,RS,PC1,consensus,"Claims reserve adequacy under uncertainty benefits from actuarial and financial consensus."
insurance_T9,insurance,role_analysis,RS,PC2,debate,"Persistency intervention trades retention, compliance, distribution, and economics."
insurance_T10,insurance,cross_cutting,ALL,PC5,synthesis,"New product approval requires role handoff and requirement clarification."
healthcare_T1,healthcare,terminology,TF,PC4,consensus,"Healthcare revenue-cycle terminology is definitional."
healthcare_T2,healthcare,terminology,TF,PC4,consensus,"Clinical quality metrics have fixed definitions."
healthcare_T3,healthcare,terminology,TF,PC4,consensus,"HIPAA terminology and PHI definition verification."
healthcare_T4,healthcare,metric_interpretation,MA,PC4,consensus,"Denial rate and A/R days threshold assessment."
healthcare_T5,healthcare,metric_interpretation,MA,PC4,consensus,"Readmission and HCAHPS benchmark assessment."
healthcare_T6,healthcare,regulatory,RC,PC4,consensus,"HIPAA breach notification obligations."
healthcare_T7,healthcare,regulatory,RC,PC4,consensus,"CMS readmission penalty assessment."
healthcare_T8,healthcare,role_analysis,RS,PC1,consensus,"Discharge planning risk decision needs care-team consensus."
healthcare_T9,healthcare,role_analysis,RS,PC2,debate,"Revenue cycle improvement balances compliance, denial reduction, and patient access."
healthcare_T10,healthcare,cross_cutting,ALL,PC5,synthesis,"Telehealth program launch requires ambiguous requirement clarification and synthesis."
banking_vn_T1,banking_vn,terminology,TF,PC4,consensus,"Vietnam banking metric terminology has fixed definitions."
banking_vn_T2,banking_vn,terminology,TF,PC4,consensus,"CIC, NPL, and provisioning terminology verification."
banking_vn_T3,banking_vn,terminology,TF,PC4,consensus,"AML and customer due-diligence terminology verification."
banking_vn_T4,banking_vn,metric_interpretation,MA,PC4,consensus,"CAR, NPL, LCR threshold assessment."
banking_vn_T5,banking_vn,metric_interpretation,MA,PC4,consensus,"Banking KPI target recall."
banking_vn_T6,banking_vn,regulatory,RC,PC4,consensus,"SBV large-transaction reporting threshold verification."
banking_vn_T7,banking_vn,regulatory,RC,PC4,consensus,"Credit and collateral regulatory obligation check."
banking_vn_T8,banking_vn,role_analysis,RS,PC1,consensus,"Credit approval risk decision requires consensus across compliance and risk."
banking_vn_T9,banking_vn,role_analysis,RS,PC2,debate,"NPL reduction trades growth, risk appetite, and collections."
banking_vn_T10,banking_vn,cross_cutting,ALL,PC5,synthesis,"Digital loan product launch requires synthesis of regulatory, risk, and product handoffs."
insurance_vn_T1,insurance_vn,terminology,TF,PC4,consensus,"Vietnam insurance terminology verification."
insurance_vn_T2,insurance_vn,terminology,TF,PC4,consensus,"Bancassurance and advisory terminology verification."
insurance_vn_T3,insurance_vn,terminology,TF,PC4,consensus,"Reserve, solvency, and claims terminology verification."
insurance_vn_T4,insurance_vn,metric_interpretation,MA,PC4,consensus,"Solvency and combined-ratio threshold assessment."
insurance_vn_T5,insurance_vn,metric_interpretation,MA,PC4,consensus,"Claims and persistency KPI target recall."
insurance_vn_T6,insurance_vn,regulatory,RC,PC4,consensus,"Vietnam insurance regulatory obligation check."
insurance_vn_T7,insurance_vn,regulatory,RC,PC4,consensus,"Bancassurance disclosure and cooling-off verification."
insurance_vn_T8,insurance_vn,role_analysis,RS,PC1,consensus,"Claims and reserve risk decision under uncertainty."
insurance_vn_T9,insurance_vn,role_analysis,RS,PC2,debate,"Distribution performance trades sales growth, advisory compliance, and persistency."
insurance_vn_T10,insurance_vn,cross_cutting,ALL,PC5,synthesis,"New insurance product requires cross-functional requirement synthesis."
fintech_RA1_PC3_01,fintech,novel_design_synthesis,RA1,PC3,synthesis,"Fraud early-warning product design requires synthesis across risk, product, data, and compliance."
insurance_RA1_PC3_01,insurance,novel_design_synthesis,RA1,PC3,synthesis,"Claims leakage program design requires synthesis across claims, actuarial, fraud, and CX."
healthcare_RA1_PC3_01,healthcare,novel_design_synthesis,RA1,PC3,synthesis,"Post-discharge program design requires synthesis across clinical, patient-experience, and revenue-cycle concerns."
banking_vn_RA1_PC3_01,banking_vn,novel_design_synthesis,RA1,PC3,synthesis,"SME credit monitoring model requires synthesis across risk, branch, digital, and regulatory concerns."
insurance_vn_RA1_PC3_01,insurance_vn,novel_design_synthesis,RA1,PC3,synthesis,"Bancassurance quality monitoring requires synthesis across distribution, compliance, customer protection, and persistency."
insurance_RA1_PC2_01,insurance,conflicting_objective_tradeoff,RA1,PC2,debate,"Underwriting growth conflicts with risk appetite, loss-ratio control, reserve volatility, and capital discipline."
healthcare_RA1_PC1_01,healthcare,high_uncertainty_risk_decision,RA1,PC1,consensus,"Weak but material safety signals require a risk decision under incomplete evidence."
healthcare_RA1_PC2_01,healthcare,conflicting_objective_tradeoff,RA1,PC2,debate,"Agency-nurse cost reduction conflicts with patient safety, experience, and staffing adequacy."
banking_vn_RA1_PC2_01,banking_vn,conflicting_objective_tradeoff,RA1,PC2,debate,"SME credit growth conflicts with credit quality, collateral risk, NPL migration, and provisioning exposure."
insurance_vn_RA1_PC1_01,insurance_vn,high_uncertainty_risk_decision,RA1,PC1,consensus,"Bancassurance complaint spike requires a conduct-risk decision under incomplete evidence."
insurance_vn_RA1_PC2_01,insurance_vn,conflicting_objective_tradeoff,RA1,PC2,debate,"Bancassurance conversion growth conflicts with needs-analysis, disclosure, cooling-off, and persistency controls."
fintech_RA1_PC5_01,fintech,ambiguous_requirement_clarification,RA1,PC5,synthesis,"Ambiguous onboarding directive must become cross-functional requirements before solution design."
insurance_RA1_PC5_01,insurance,ambiguous_requirement_clarification,RA1,PC5,synthesis,"Ambiguous claims-leakage directive must become executable requirements before intervention design."
healthcare_RA1_PC5_01,healthcare,ambiguous_requirement_clarification,RA1,PC5,synthesis,"Ambiguous discharge-experience directive must become clinical, case-management, experience, and revenue-cycle requirements."
banking_vn_RA1_PC5_01,banking_vn,ambiguous_requirement_clarification,RA1,PC5,synthesis,"Ambiguous proactive SME monitoring directive must become cross-functional requirements."
insurance_vn_RA1_PC5_01,insurance_vn,ambiguous_requirement_clarification,RA1,PC5,synthesis,"Ambiguous bancassurance quality directive must become requirements across compliance, distribution, service, and partner management."
software_T1,software,high_uncertainty_risk_decision,RA1,PC1,consensus,"Growth vs efficiency decision under uncertainty across SaaS metrics."
software_T2,software,high_uncertainty_risk_decision,RA1,PC1,consensus,"Reliability vs enterprise-sales risk requires consensus."
software_T3,software,conflicting_objective_tradeoff,RA1,PC2,debate,"Speed-to-deal conflicts with security and compliance assurance."
